Protéine	Fragment	Début	Fin
nettoyee_A0A1W2PR48	proteine_nettoyee_A0A1W2PR48	126	439
nettoyee_A2RRP1	proteine_nettoyee_A2RRP1	27	521
nettoyee_A4D1P6	proteine_nettoyee_A4D1P6	396	743
nettoyee_A6NGE4	proteine_nettoyee_A6NGE4	143	551
nettoyee_O00628	proteine_nettoyee_O00628	5	321
nettoyee_O14576	proteine_nettoyee_O14576	242	632
nettoyee_O14775	proteine_nettoyee_O14775	72	395
nettoyee_O15040	proteine_nettoyee_O15040	5	359
nettoyee_O15143	proteine_nettoyee_O15143	1	372
nettoyee_O15213	proteine_nettoyee_O15213	158	518
nettoyee_O43172	proteine_nettoyee_O43172	165	522
nettoyee_O43660	proteine_nettoyee_O43660	187	504
nettoyee_O43684	proteine_nettoyee_O43684	1	324
nettoyee_O43815	proteine_nettoyee_O43815	450	780
nettoyee_O43818	proteine_nettoyee_O43818	120	466
nettoyee_O60508	proteine_nettoyee_O60508	234	579
nettoyee_O60907	proteine_nettoyee_O60907	220	576
nettoyee_O75037	proteine_nettoyee_O75037	1281	1620
nettoyee_O75530	proteine_nettoyee_O75530	78	441
nettoyee_O75717	proteine_nettoyee_O75717	1	306
nettoyee_O76071	proteine_nettoyee_O76071	1	335
nettoyee_O94979	proteine_nettoyee_O94979	1	388
nettoyee_O95170	proteine_nettoyee_O95170	375	686
nettoyee_P16520	proteine_nettoyee_P16520	22	340
nettoyee_P31146	proteine_nettoyee_P31146	14	408
nettoyee_P35606	proteine_nettoyee_P35606	2	302
nettoyee_P43034	proteine_nettoyee_P43034	82	410
nettoyee_P55735	proteine_nettoyee_P55735	1	311
nettoyee_P57081	proteine_nettoyee_P57081	1	362
nettoyee_P57737	proteine_nettoyee_P57737	471	852
nettoyee_P57775	proteine_nettoyee_P57775	76	412
nettoyee_P61962	proteine_nettoyee_P61962	6	342
nettoyee_P61964	proteine_nettoyee_P61964	32	334
nettoyee_P62873	proteine_nettoyee_P62873	22	340
nettoyee_P62879	proteine_nettoyee_P62879	22	340
nettoyee_P63151	proteine_nettoyee_P63151	9	445
nettoyee_P63244	proteine_nettoyee_P63244	3	314
nettoyee_P78406	proteine_nettoyee_P78406	3	365
nettoyee_Q00005	proteine_nettoyee_Q00005	21	442
nettoyee_Q04725	proteine_nettoyee_Q04725	419	743
nettoyee_Q04727	proteine_nettoyee_Q04727	449	773
nettoyee_Q05048	proteine_nettoyee_Q05048	77	427
nettoyee_Q09019	proteine_nettoyee_Q09019	217	595
nettoyee_Q09028	proteine_nettoyee_Q09028	17	408
nettoyee_Q12834	proteine_nettoyee_Q12834	147	475
nettoyee_Q13033	proteine_nettoyee_Q13033	467	797
nettoyee_Q13112	proteine_nettoyee_Q13112	3	394
nettoyee_Q13216	proteine_nettoyee_Q13216	26	364
nettoyee_Q13347	proteine_nettoyee_Q13347	1	323
nettoyee_Q13409	proteine_nettoyee_Q13409	231	625
nettoyee_Q13610	proteine_nettoyee_Q13610	4	481
nettoyee_Q13685	proteine_nettoyee_Q13685	40	432
nettoyee_Q14137	proteine_nettoyee_Q14137	392	746
nettoyee_Q15061	proteine_nettoyee_Q15061	13	393
nettoyee_Q15291	proteine_nettoyee_Q15291	11	471
nettoyee_Q16576	proteine_nettoyee_Q16576	16	407
nettoyee_Q2TAY7	proteine_nettoyee_Q2TAY7	176	513
nettoyee_Q38SD2	proteine_nettoyee_Q38SD2	1524	1991
nettoyee_Q3SXM0	proteine_nettoyee_Q3SXM0	1	395
nettoyee_Q504Q3	proteine_nettoyee_Q504Q3	51	372
nettoyee_Q53HC9	proteine_nettoyee_Q53HC9	4	382
nettoyee_Q5JTN6	proteine_nettoyee_Q5JTN6	7	300
nettoyee_Q5MNZ6	proteine_nettoyee_Q5MNZ6	1	344
nettoyee_Q5MNZ9	proteine_nettoyee_Q5MNZ9	14	425
